info face="D:\game2\png\font\Untitled-1-export" size=32 bold=0 italic=0 charset="" unicode=0 stretchH=100 smooth=1 aa=1 padding=0,0,0,0 spacing=1,1
char id=75 x=104 y=128 width=30 height=31 xoffset=0 yoffset=49 xadvance=31 page=0 chnl=0 letter="K"
char id=76 x=448 y=202 width=17 height=31 xoffset=0 yoffset=49 xadvance=18 page=0 chnl=0 letter="L"
char id=77 x=0 y=168 width=36 height=31 xoffset=0 yoffset=49 xadvance=37 page=0 chnl=0 letter="M"
char id=78 x=103 y=402 width=31 height=31 xoffset=0 yoffset=49 xadvance=32 page=0 chnl=0 letter="N"
char id=79 x=279 y=86 width=26 height=31 xoffset=0 yoffset=49 xadvance=27 page=0 chnl=0 letter="O"
char id=210 x=279 y=118 width=26 height=40 xoffset=0 yoffset=40 xadvance=27 page=0 chnl=0 letter="Ò"
char id=211 x=279 y=250 width=26 height=40 xoffset=0 yoffset=40 xadvance=27 page=0 chnl=0 letter="Ó"
char id=7886 x=252 y=179 width=26 height=42 xoffset=0 yoffset=38 xadvance=27 page=0 chnl=0 letter="Ỏ"
char id=213 x=224 y=130 width=27 height=39 xoffset=0 yoffset=41 xadvance=28 page=0 chnl=0 letter="Õ"
char id=7884 x=252 y=106 width=26 height=40 xoffset=0 yoffset=49 xadvance=27 page=0 chnl=0 letter="Ọ"
char id=212 x=279 y=159 width=26 height=40 xoffset=0 yoffset=40 xadvance=27 page=0 chnl=0 letter="Ô"
char id=7890 x=103 y=356 width=31 height=45 xoffset=0 yoffset=35 xadvance=32 page=0 chnl=0 letter="Ồ"
char id=7888 x=0 y=224 width=35 height=46 xoffset=0 yoffset=34 xadvance=36 page=0 chnl=0 letter="Ố"
char id=7892 x=70 y=169 width=32 height=46 xoffset=0 yoffset=34 xadvance=33 page=0 chnl=0 letter="Ổ"
char id=7894 x=135 y=358 width=30 height=48 xoffset=0 yoffset=32 xadvance=31 page=0 chnl=0 letter="Ỗ"
char id=7896 x=279 y=200 width=26 height=49 xoffset=0 yoffset=40 xadvance=27 page=0 chnl=0 letter="Ộ"
char id=416 x=71 y=131 width=32 height=31 xoffset=0 yoffset=49 xadvance=33 page=0 chnl=0 letter="Ơ"
char id=7900 x=71 y=90 width=32 height=40 xoffset=0 yoffset=40 xadvance=33 page=0 chnl=0 letter="Ờ"
char id=7898 x=70 y=216 width=32 height=40 xoffset=0 yoffset=40 xadvance=33 page=0 chnl=0 letter="Ớ"
char id=7902 x=70 y=297 width=32 height=42 xoffset=0 yoffset=38 xadvance=33 page=0 chnl=0 letter="Ở"
char id=7904 x=70 y=257 width=32 height=39 xoffset=0 yoffset=41 xadvance=33 page=0 chnl=0 letter="Ỡ"
char id=7906 x=70 y=340 width=32 height=40 xoffset=0 yoffset=49 xadvance=33 page=0 chnl=0 letter="Ợ"
char id=80 x=166 y=345 width=28 height=31 xoffset=0 yoffset=49 xadvance=29 page=0 chnl=0 letter="P"
char id=81 x=306 y=125 width=26 height=36 xoffset=0 yoffset=49 xadvance=27 page=0 chnl=0 letter="Q"
char id=82 x=166 y=270 width=28 height=31 xoffset=0 yoffset=49 xadvance=29 page=0 chnl=0 letter="R"
char id=83 x=279 y=323 width=26 height=31 xoffset=0 yoffset=49 xadvance=27 page=0 chnl=0 letter="S"
char id=84 x=383 y=33 width=23 height=31 xoffset=0 yoffset=49 xadvance=24 page=0 chnl=0 letter="T"
char id=85 x=252 y=32 width=26 height=31 xoffset=0 yoffset=49 xadvance=27 page=0 chnl=0 letter="U"
char id=217 x=279 y=355 width=26 height=41 xoffset=0 yoffset=39 xadvance=27 page=0 chnl=0 letter="Ù"
char id=218 x=306 y=162 width=26 height=40 xoffset=0 yoffset=40 xadvance=27 page=0 chnl=0 letter="Ú"
char id=7910 x=279 y=397 width=26 height=42 xoffset=0 yoffset=38 xadvance=27 page=0 chnl=0 letter="Ủ"
char id=360 x=306 y=41 width=26 height=39 xoffset=0 yoffset=41 xadvance=27 page=0 chnl=0 letter="Ũ"
char id=7908 x=306 y=0 width=26 height=40 xoffset=0 yoffset=49 xadvance=27 page=0 chnl=0 letter="Ụ"
char id=431 x=36 y=242 width=33 height=31 xoffset=0 yoffset=49 xadvance=34 page=0 chnl=0 letter="Ư"
char id=7914 x=36 y=200 width=33 height=41 xoffset=0 yoffset=39 xadvance=34 page=0 chnl=0 letter="Ừ"
char id=7912 x=69 y=413 width=33 height=40 xoffset=0 yoffset=40 xadvance=34 page=0 chnl=0 letter="Ứ"
char id=7916 x=39 y=47 width=33 height=42 xoffset=0 yoffset=38 xadvance=34 page=0 chnl=0 letter="Ử"
char id=7918 x=36 y=315 width=33 height=39 xoffset=0 yoffset=41 xadvance=34 page=0 chnl=0 letter="Ữ"
char id=7920 x=36 y=274 width=33 height=40 xoffset=0 yoffset=49 xadvance=34 page=0 chnl=0 letter="Ự"
char id=86 x=332 y=203 width=25 height=31 xoffset=0 yoffset=49 xadvance=26 page=0 chnl=0 letter="V"
char id=87 x=0 y=88 width=37 height=31 xoffset=0 yoffset=49 xadvance=38 page=0 chnl=0 letter="W"
char id=88 x=70 y=381 width=32 height=31 xoffset=0 yoffset=49 xadvance=33 page=0 chnl=0 letter="X"
char id=89 x=224 y=32 width=27 height=31 xoffset=0 yoffset=49 xadvance=28 page=0 chnl=0 letter="Y"
char id=7922 x=196 y=84 width=27 height=40 xoffset=0 yoffset=40 xadvance=28 page=0 chnl=0 letter="Ỳ"
char id=221 x=195 y=311 width=27 height=40 xoffset=0 yoffset=40 xadvance=28 page=0 chnl=0 letter="Ý"
char id=7926 x=196 y=164 width=27 height=42 xoffset=0 yoffset=38 xadvance=28 page=0 chnl=0 letter="Ỷ"
char id=7928 x=223 y=351 width=27 height=39 xoffset=0 yoffset=41 xadvance=28 page=0 chnl=0 letter="Ỹ"
char id=7924 x=35 y=413 width=33 height=40 xoffset=0 yoffset=49 xadvance=34 page=0 chnl=0 letter="Ỵ"
char id=90 x=167 y=81 width=28 height=30 xoffset=0 yoffset=50 xadvance=29 page=0 chnl=0 letter="Z"
char id=97 x=331 y=447 width=23 height=23 xoffset=0 yoffset=57 xadvance=24 page=0 chnl=0 letter="a"
char id=224 x=358 y=284 width=23 height=33 xoffset=0 yoffset=47 xadvance=24 page=0 chnl=0 letter="à"
char id=225 x=358 y=318 width=23 height=33 xoffset=0 yoffset=47 xadvance=24 page=0 chnl=0 letter="á"
char id=227 x=306 y=320 width=25 height=32 xoffset=0 yoffset=48 xadvance=26 page=0 chnl=0 letter="ã"
char id=7843 x=382 y=284 width=23 height=34 xoffset=0 yoffset=46 xadvance=24 page=0 chnl=0 letter="ả"
char id=7841 x=382 y=319 width=23 height=32 xoffset=0 yoffset=57 xadvance=24 page=0 chnl=0 letter="ạ"
char id=259 x=358 y=0 width=24 height=33 xoffset=0 yoffset=47 xadvance=25 page=0 chnl=0 letter="ă"
char id=7857 x=358 y=67 width=24 height=42 xoffset=0 yoffset=38 xadvance=25 page=0 chnl=0 letter="ằ"
char id=7855 x=166 y=302 width=28 height=42 xoffset=0 yoffset=38 xadvance=29 page=0 chnl=0 letter="ắ"
char id=7859 x=306 y=81 width=26 height=43 xoffset=0 yoffset=37 xadvance=27 page=0 chnl=0 letter="ẳ"
char id=7861 x=168 y=0 width=28 height=41 xoffset=0 yoffset=39 xadvance=29 page=0 chnl=0 letter="ẵ"
char id=7863 x=333 y=133 width=24 height=42 xoffset=0 yoffset=47 xadvance=25 page=0 chnl=0 letter="ặ"
char id=226 x=333 y=0 width=24 height=33 xoffset=0 yoffset=47 xadvance=25 page=0 chnl=0 letter="â"
char id=7847 x=138 y=42 width=29 height=38 xoffset=0 yoffset=42 xadvance=30 page=0 chnl=0 letter="ầ"
char id=7845 x=40 y=0 width=33 height=39 xoffset=0 yoffset=41 xadvance=34 page=0 chnl=0 letter="ấ"
char id=7849 x=135 y=317 width=30 height=40 xoffset=0 yoffset=40 xadvance=31 page=0 chnl=0 letter="ẩ"
char id=7851 x=166 y=196 width=29 height=41 xoffset=0 yoffset=39 xadvance=30 page=0 chnl=0 letter="ẫ"
char id=7853 x=358 y=110 width=24 height=42 xoffset=0 yoffset=47 xadvance=25 page=0 chnl=0 letter="ậ"
char id=98 x=406 y=194 width=22 height=32 xoffset=0 yoffset=48 xadvance=23 page=0 chnl=0 letter="b"
char id=99 x=429 y=43 width=20 height=24 xoffset=0 yoffset=56 xadvance=21 page=0 chnl=0 letter="c"
char id=100 x=251 y=413 width=27 height=32 xoffset=0 yoffset=48 xadvance=28 page=0 chnl=0 letter="d"
char id=273 x=166 y=163 width=29 height=32 xoffset=0 yoffset=48 xadvance=30 page=0 chnl=0 letter="đ"
char id=101 x=428 y=413 width=20 height=24 xoffset=0 yoffset=56 xadvance=21 page=0 chnl=0 letter="e"
char id=232 x=428 y=438 width=20 height=33 xoffset=0 yoffset=47 xadvance=21 page=0 chnl=0 letter="è"
char id=233 x=383 y=237 width=22 height=33 xoffset=0 yoffset=47 xadvance=23 page=0 chnl=0 letter="é"
char id=7867 x=406 y=270 width=21 height=35 xoffset=0 yoffset=45 xadvance=22 page=0 chnl=0 letter="ẻ"
char id=7869 x=358 y=186 width=24 height=31 xoffset=0 yoffset=49 xadvance=25 page=0 chnl=0 letter="ẽ"
char id=7865 x=428 y=346 width=20 height=33 xoffset=0 yoffset=56 xadvance=21 page=0 chnl=0 letter="ẹ"
char id=234 x=406 y=340 width=21 height=33 xoffset=0 yoffset=47 xadvance=22 page=0 chnl=0 letter="ê"
char id=7873 x=251 y=333 width=27 height=38 xoffset=0 yoffset=42 xadvance=28 page=0 chnl=0 letter="ề"
char id=7871 x=103 y=434 width=30 height=38 xoffset=0 yoffset=42 xadvance=31 page=0 chnl=0 letter="ế"
char id=7875 x=251 y=372 width=27 height=40 xoffset=0 yoffset=40 xadvance=28 page=0 chnl=0 letter="ể"
char id=7877 x=252 y=64 width=26 height=41 xoffset=0 yoffset=39 xadvance=27 page=0 chnl=0 letter="ễ"
char id=7879 x=406 y=374 width=21 height=42 xoffset=0 yoffset=47 xadvance=22 page=0 chnl=0 letter="ệ"
char id=103 x=332 y=382 width=24 height=31 xoffset=0 yoffset=57 xadvance=25 page=0 chnl=0 letter="g"
char id=104 x=358 y=34 width=24 height=32 xoffset=0 yoffset=48 xadvance=25 page=0 chnl=0 letter="h"
char id=105 x=448 y=168 width=17 height=33 xoffset=0 yoffset=47 xadvance=18 page=0 chnl=0 letter="i"
char id=236 x=429 y=134 width=18 height=33 xoffset=0 yoffset=47 xadvance=19 page=0 chnl=0 letter="ì"
char id=237 x=448 y=134 width=17 height=33 xoffset=0 yoffset=47 xadvance=18 page=0 chnl=0 letter="í"
char id=7881 x=429 y=168 width=18 height=34 xoffset=0 yoffset=46 xadvance=19 page=0 chnl=0 letter="ỉ"
char id=297 x=428 y=380 width=20 height=32 xoffset=0 yoffset=48 xadvance=21 page=0 chnl=0 letter="ĩ"
char id=7883 x=429 y=0 width=20 height=42 xoffset=0 yoffset=47 xadvance=21 page=0 chnl=0 letter="ị"
char id=106 x=382 y=424 width=23 height=42 xoffset=0 yoffset=47 xadvance=24 page=0 chnl=0 letter="j"
char id=107 x=358 y=251 width=24 height=32 xoffset=0 yoffset=48 xadvance=25 page=0 chnl=0 letter="k"
char id=108 x=449 y=371 width=17 height=32 xoffset=0 yoffset=48 xadvance=18 page=0 chnl=0 letter="l"
char id=109 x=0 y=200 width=35 height=23 xoffset=0 yoffset=57 xadvance=36 page=0 chnl=0 letter="m"
char id=110 x=306 y=415 width=24 height=23 xoffset=0 yoffset=57 xadvance=25 page=0 chnl=0 letter="n"
char id=111 x=406 y=417 width=21 height=24 xoffset=0 yoffset=56 xadvance=22 page=0 chnl=0 letter="o"
char id=242 x=407 y=0 width=21 height=33 xoffset=0 yoffset=47 xadvance=22 page=0 chnl=0 letter="ò"
char id=243 x=406 y=160 width=22 height=33 xoffset=0 yoffset=47 xadvance=23 page=0 chnl=0 letter="ó"
char id=7887 x=428 y=270 width=21 height=34 xoffset=0 yoffset=46 xadvance=22 page=0 chnl=0 letter="ỏ"
char id=245 x=382 y=352 width=23 height=31 xoffset=0 yoffset=49 xadvance=24 page=0 chnl=0 letter="õ"
char id=7885 x=407 y=116 width=21 height=33 xoffset=0 yoffset=56 xadvance=22 page=0 chnl=0 letter="ọ"
char id=244 x=383 y=160 width=22 height=33 xoffset=0 yoffset=47 xadvance=23 page=0 chnl=0 letter="ô"
char id=7891 x=196 y=125 width=27 height=38 xoffset=0 yoffset=42 xadvance=28 page=0 chnl=0 letter="ồ"
char id=7889 x=104 y=88 width=31 height=39 xoffset=0 yoffset=41 xadvance=32 page=0 chnl=0 letter="ố"
char id=7893 x=195 y=270 width=28 height=40 xoffset=0 yoffset=40 xadvance=29 page=0 chnl=0 letter="ổ"
char id=7895 x=196 y=42 width=27 height=41 xoffset=0 yoffset=39 xadvance=28 page=0 chnl=0 letter="ỗ"
char id=7897 x=383 y=194 width=22 height=42 xoffset=0 yoffset=47 xadvance=23 page=0 chnl=0 letter="ộ"
char id=417 x=135 y=407 width=27 height=24 xoffset=0 yoffset=56 xadvance=28 page=0 chnl=0 letter="ơ"
char id=7901 x=195 y=439 width=27 height=33 xoffset=0 yoffset=47 xadvance=28 page=0 chnl=0 letter="ờ"
char id=7899 x=224 y=256 width=27 height=33 xoffset=0 yoffset=47 xadvance=28 page=0 chnl=0 letter="ớ"
char id=7903 x=224 y=170 width=27 height=34 xoffset=0 yoffset=46 xadvance=28 page=0 chnl=0 letter="ở"
char id=7905 x=168 y=42 width=27 height=31 xoffset=0 yoffset=49 xadvance=28 page=0 chnl=0 letter="ỡ"
char id=7907 x=224 y=64 width=27 height=33 xoffset=0 yoffset=56 xadvance=28 page=0 chnl=0 letter="ợ"
char id=112 x=279 y=440 width=25 height=32 xoffset=0 yoffset=56 xadvance=26 page=0 chnl=0 letter="p"
char id=113 x=383 y=0 width=23 height=32 xoffset=0 yoffset=57 xadvance=24 page=0 chnl=0 letter="q"
char id=114 x=429 y=68 width=19 height=23 xoffset=0 yoffset=57 xadvance=20 page=0 chnl=0 letter="r"
char id=115 x=358 y=352 width=21 height=24 xoffset=0 yoffset=56 xadvance=22 page=0 chnl=0 letter="s"
char id=116 x=449 y=404 width=17 height=31 xoffset=0 yoffset=49 xadvance=18 page=0 chnl=0 letter="t"
char id=117 x=251 y=446 width=24 height=23 xoffset=0 yoffset=57 xadvance=25 page=0 chnl=0 letter="u"
char id=249 x=357 y=416 width=24 height=33 xoffset=0 yoffset=47 xadvance=25 page=0 chnl=0 letter="ù"
char id=250 x=357 y=382 width=24 height=33 xoffset=0 yoffset=47 xadvance=25 page=0 chnl=0 letter="ú"
char id=7911 x=333 y=66 width=24 height=34 xoffset=0 yoffset=46 xadvance=25 page=0 chnl=0 letter="ủ"
char id=361 x=358 y=218 width=24 height=32 xoffset=0 yoffset=48 xadvance=25 page=0 chnl=0 letter="ũ"
char id=7909 x=358 y=153 width=24 height=32 xoffset=0 yoffset=57 xadvance=25 page=0 chnl=0 letter="ụ"
char id=432 x=38 y=90 width=30 height=24 xoffset=0 yoffset=56 xadvance=31 page=0 chnl=0 letter="ư"
char id=7915 x=106 y=51 width=30 height=33 xoffset=0 yoffset=47 xadvance=31 page=0 chnl=0 letter="ừ"
char id=7913 x=134 y=434 width=30 height=33 xoffset=0 yoffset=47 xadvance=31 page=0 chnl=0 letter="ứ"
char id=7917 x=136 y=85 width=30 height=34 xoffset=0 yoffset=46 xadvance=31 page=0 chnl=0 letter="ử"
char id=7919 x=135 y=285 width=30 height=31 xoffset=0 yoffset=49 xadvance=31 page=0 chnl=0 letter="ữ"
char id=7921 x=135 y=251 width=30 height=33 xoffset=0 yoffset=56 xadvance=31 page=0 chnl=0 letter="ự"
char id=118 x=406 y=442 width=21 height=23 xoffset=0 yoffset=57 xadvance=22 page=0 chnl=0 letter="v"
char id=119 x=37 y=169 width=31 height=23 xoffset=0 yoffset=57 xadvance=32 page=0 chnl=0 letter="w"
char id=120 x=165 y=449 width=26 height=23 xoffset=0 yoffset=57 xadvance=27 page=0 chnl=0 letter="x"
char id=121 x=332 y=277 width=25 height=31 xoffset=0 yoffset=57 xadvance=26 page=0 chnl=0 letter="y"
char id=7923 x=332 y=235 width=25 height=41 xoffset=0 yoffset=47 xadvance=26 page=0 chnl=0 letter="ỳ"
char id=253 x=306 y=203 width=25 height=41 xoffset=0 yoffset=47 xadvance=26 page=0 chnl=0 letter="ý"
char id=7927 x=306 y=245 width=25 height=42 xoffset=0 yoffset=46 xadvance=26 page=0 chnl=0 letter="ỷ"
char id=7929 x=332 y=309 width=25 height=39 xoffset=0 yoffset=49 xadvance=26 page=0 chnl=0 letter="ỹ"
char id=7925 x=332 y=349 width=25 height=32 xoffset=0 yoffset=57 xadvance=26 page=0 chnl=0 letter="ỵ"
char id=122 x=333 y=176 width=22 height=23 xoffset=0 yoffset=57 xadvance=23 page=0 chnl=0 letter="z"
char id=48 x=333 y=34 width=24 height=31 xoffset=0 yoffset=49 xadvance=25 page=0 chnl=0 letter="0"
char id=49 x=449 y=68 width=16 height=31 xoffset=0 yoffset=49 xadvance=17 page=0 chnl=0 letter="1"
char id=50 x=252 y=256 width=26 height=31 xoffset=0 yoffset=49 xadvance=27 page=0 chnl=0 letter="2"
char id=51 x=333 y=101 width=24 height=31 xoffset=0 yoffset=49 xadvance=25 page=0 chnl=0 letter="3"
char id=52 x=331 y=415 width=25 height=31 xoffset=0 yoffset=49 xadvance=26 page=0 chnl=0 letter="4"
char id=53 x=306 y=384 width=25 height=30 xoffset=0 yoffset=50 xadvance=26 page=0 chnl=0 letter="5"
char id=54 x=383 y=65 width=23 height=31 xoffset=0 yoffset=49 xadvance=24 page=0 chnl=0 letter="6"
char id=55 x=306 y=353 width=25 height=30 xoffset=0 yoffset=50 xadvance=26 page=0 chnl=0 letter="7"
char id=56 x=306 y=288 width=25 height=31 xoffset=0 yoffset=49 xadvance=26 page=0 chnl=0 letter="8"
char id=57 x=383 y=128 width=23 height=31 xoffset=0 yoffset=49 xadvance=24 page=0 chnl=0 letter="9"
char id=96 x=17 y=463 width=10 height=8 xoffset=0 yoffset=47 xadvance=11 page=0 chnl=0 letter="`"
char id=126 x=0 y=463 width=16 height=7 xoffset=0 yoffset=63 xadvance=17 page=0 chnl=0 letter="~"
char id=33 x=448 y=234 width=17 height=31 xoffset=0 yoffset=49 xadvance=18 page=0 chnl=0 letter="!"
char id=64 x=0 y=47 width=38 height=40 xoffset=0 yoffset=46 xadvance=39 page=0 chnl=0 letter="@"
char id=35 x=166 y=377 width=27 height=28 xoffset=0 yoffset=49 xadvance=28 page=0 chnl=0 letter="#"
char id=36 x=406 y=306 width=21 height=33 xoffset=0 yoffset=48 xadvance=22 page=0 chnl=0 letter="$"
char id=37 x=166 y=238 width=29 height=31 xoffset=0 yoffset=49 xadvance=30 page=0 chnl=0 letter="%"
char id=94 x=429 y=203 width=18 height=21 xoffset=0 yoffset=45 xadvance=19 page=0 chnl=0 letter="^"
char id=38 x=279 y=0 width=26 height=44 xoffset=0 yoffset=43 xadvance=27 page=0 chnl=0 letter="&"
char id=42 x=35 y=454 width=16 height=15 xoffset=0 yoffset=47 xadvance=17 page=0 chnl=0 letter="*"
char id=40 x=449 y=337 width=17 height=33 xoffset=0 yoffset=47 xadvance=18 page=0 chnl=0 letter="("
char id=41 x=429 y=225 width=18 height=33 xoffset=0 yoffset=47 xadvance=19 page=0 chnl=0 letter=")"
char id=45 x=52 y=467 width=16 height=5 xoffset=0 yoffset=64 xadvance=17 page=0 chnl=0 letter="-"
char id=61 x=383 y=271 width=19 height=12 xoffset=0 yoffset=60 xadvance=20 page=0 chnl=0 letter="="
char id=43 x=355 y=450 width=20 height=21 xoffset=0 yoffset=55 xadvance=21 page=0 chnl=0 letter="+"
char id=59 x=449 y=100 width=15 height=29 xoffset=0 yoffset=56 xadvance=16 page=0 chnl=0 letter=";"
char id=58 x=449 y=436 width=13 height=24 xoffset=0 yoffset=56 xadvance=14 page=0 chnl=0 letter=":"
char id=34 x=52 y=454 width=16 height=12 xoffset=0 yoffset=47 xadvance=17 page=0 chnl=0 letter="""
char id=39 x=79 y=454 width=9 height=12 xoffset=0 yoffset=47 xadvance=10 page=0 chnl=0 letter="'"
char id=124 x=429 y=92 width=19 height=41 xoffset=0 yoffset=44 xadvance=20 page=0 chnl=0 letter="|"
char id=92 x=450 y=0 width=10 height=33 xoffset=0 yoffset=47 xadvance=11 page=0 chnl=0 letter="\"
char id=60 x=224 y=290 width=21 height=19 xoffset=0 yoffset=56 xadvance=22 page=0 chnl=0 letter="<"
char id=44 x=69 y=454 width=9 height=11 xoffset=0 yoffset=74 xadvance=10 page=0 chnl=0 letter=","
char id=62 x=196 y=248 width=22 height=19 xoffset=0 yoffset=56 xadvance=23 page=0 chnl=0 letter=">"
char id=46 x=36 y=355 width=7 height=7 xoffset=0 yoffset=73 xadvance=8 page=0 chnl=0 letter="."
char id=63 x=383 y=97 width=23 height=30 xoffset=0 yoffset=50 xadvance=24 page=0 chnl=0 letter="?"
char id=47 x=252 y=222 width=26 height=33 xoffset=0 yoffset=47 xadvance=27 page=0 chnl=0 letter="/"
char id=32 x=0 y=0 width=0 height=0 xoffset=0 yoffset=0 xadvance=20 page=0 chnl=0 letter=" "
char id=9 x=0 y=0 width=0 height=0 xoffset=0 yoffset=0 xadvance=160 page=0 chnl=0 letter="	"

kernings count=485
kerning first=65  second=39  amount=-3
kerning first=65  second=67  amount=-4
kerning first=65  second=71  amount=-4
kerning first=65  second=79  amount=-4
kerning first=65  second=81  amount=-4
kerning first=65  second=84  amount=-5
kerning first=65  second=85  amount=-4
kerning first=65  second=86  amount=-5
kerning first=65  second=87  amount=-5
kerning first=65  second=89  amount=-5
kerning first=66  second=65  amount=-7
kerning first=66  second=69  amount=-7
kerning first=66  second=76  amount=-6
kerning first=66  second=80  amount=-7
kerning first=66  second=82  amount=-7
kerning first=66  second=85  amount=-5
kerning first=66  second=86  amount=-4
kerning first=66  second=87  amount=-5
kerning first=66  second=89  amount=-5
kerning first=67  second=65  amount=-9
kerning first=67  second=79  amount=-6
kerning first=67  second=82  amount=-9
kerning first=68  second=65  amount=-7
